"polygon_id","polygon_name","polygon_level","polygon_version","country","date_time","n_baseline","n_crisis","n_difference","density_baseline","density_crisis","percent_change","z_score","latitude","longitude","ds"
"PAK.7.5_1","Lahore","GADM2","3.6","PK","2022-09-07 16:00","541628.4978704379","547473.0","5844.502129562083","0.18990153100094342","0.19370743533567705","1.0790590528287907","0.2916072268306671","31.212249025737595","73.94344561103003","2022-09-07"
"PAK.2.3_1","Nasirabad","GADM2","3.6","PK","2022-09-07 16:00","4921.923076923077","3513.0","-1408.9230769230771","0.0017256860217871144","0.0012429731152663848","-28.619644363886376","-2.7554531673492306","28.78299391530157","67.8281987215831","2022-09-07"
"PAK.3.1_1","F.A.T.A.","GADM2","3.6","PK","2022-09-07 16:00","21418.43542053661","21627.0","208.56457946338924","0.0075095636474019","0.00765208641157589","0.9737165119834151","0.18074007638358716","33.170013305044215","70.3861612705621","2022-09-07"
"PAK.5.6_1","Malakand","GADM2","3.6","PK","2022-09-07 16:00","57780.85421613688","55655.0","-2125.8542161368823","0.02025866940408196","0.019691906840350312","-3.6791034918765027","-1.1157905072191285","35.69241137190094","72.24693033592979","2022-09-07"
"PAK.2.2_1","Makran","GADM2","3.6","PK","2022-09-07 16:00","4855.163083416536","4989.0","133.8369165834638","0.0017022791570701515","0.0017652128870093919","2.756021869210029","0.2455677449064453","26.114871247960583","63.45987406471992","2022-09-07"
"PAK.5.4_1","Hazara","GADM2","3.6","PK","2022-09-07 16:00","46805.045016619944","44569.0","-2236.0450166199444","0.016410417365724305","0.015769447416540707","-4.777256903090118","-1.008511316987816","34.841214265020795","73.22436616623538","2022-09-07"
"PAK.2.6_1","Zhob","GADM2","3.6","PK","2022-09-07 16:00","6595.927914711034","5903.0","-692.9279147110337","0.0023126124535550424","0.0020886052659884625","-10.503796974434367","-1.7627142052022393","30.87994725044581","68.96663058059505","2022-09-07"
"PAK.5.3_1","F.A.T.A.","GADM2","3.6","PK","2022-09-07 16:00","1538.7692307692307","1428.0","-110.76923076923072","0.0005395111851188471","0.0005052563645318523","-7.193885197582052","-0.9520392215107997","32.93234229426058","70.79861448797378","2022-09-07"
"PAK.7.1_1","Bahawalpur","GADM2","3.6","PK","2022-09-07 16:00","99492.09249723617","97641.0","-1851.0924972361681","0.034883136249289744","0.034547434656340754","-1.8605236311129738","-0.359752599993778","28.848917939976854","71.63772667830045","2022-09-07"
"PAK.5.5_1","Kohat","GADM2","3.6","PK","2022-09-07 16:00","18112.050007023958","17607.0","-505.05000702395773","0.0063503047557926995","0.0062297260576416845","-2.7883211652819777","-0.46344395415713147","33.32403865221535","71.2456287788584","2022-09-07"
"PAK.7.8_1","Sargodha","GADM2","3.6","PK","2022-09-07 16:00","72578.19970931628","66629.0","-5949.199709316279","0.02544679849062951","0.023574738314000556","-8.196838396046187","-1.7564599386651853","32.10038677977812","71.88915810191632","2022-09-07"
"PAK.7.6_1","Multan","GADM2","3.6","PK","2022-09-07 16:00","168175.0742991294","165119.0","-3056.0742991293955","0.05896422402286818","0.058422566985388606","-1.8171873210059917","-0.45480276022673116","30.125238653918725","72.23541496058307","2022-09-07"
"PAK.7.7_1","Rawalpindi","GADM2","3.6","PK","2022-09-07 16:00","184693.20118343196","180396.0","-4297.201183431956","0.06475567996901978","0.06382789015132216","-2.3266573373162505","-0.44633930016923334","33.19520491602086","72.72306554874687","2022-09-07"
"PAK.5.8_1","Peshawar","GADM2","3.6","PK","2022-09-07 16:00","108446.84798937126","112759.0","4312.152010628735","0.038022782306285696","0.03989650028588736","3.97624488689841","0.7200631493615477","34.01355518230366","71.79201037504812","2022-09-07"
"PAK.8.2_1","Karachi","GADM2","3.6","PK","2022-09-07 16:00","501351.5637873049","519425.0","18073.436212695087","0.17577994863132324","0.18378346438862564","3.604935432296424","1.095212948819451","25.078783448780808","67.18591128987336","2022-09-07"
"PAK.7.4_1","Gujranwala","GADM2","3.6","PK","2022-09-07 16:00","256560.5690539519","251538.0","-5022.569053951913","0.08995325218185485","0.08899942256415481","-1.9576466859289143","-0.42453007184164715","32.33316289585532","74.07475121428519","2022-09-07"
