"polygon_id","polygon_name","polygon_level","polygon_version","country","date_time","n_baseline","n_crisis","n_difference","density_baseline","density_crisis","percent_change","z_score","latitude","longitude","ds"
"PAK.7.5_1","Lahore","GADM2","3.6","PK","2022-09-07 08:00","714127.0918526596","728966.0","14838.908147340408","0.1993307638676913","0.20235155128157797","2.077905674995068","0.6777268611421605","31.212249025737595","73.94344561103003","2022-09-07"
"PAK.2.6_1","Zhob","GADM2","3.6","PK","2022-09-07 08:00","6339.153846153846","5940.0","-399.15384615384573","0.0017694166666475748","0.0016488673197550682","-6.2956492198684755","-1.139728927504456","30.87994725044581","68.96663058059505","2022-09-07"
"PAK.5.5_1","Kohat","GADM2","3.6","PK","2022-09-07 08:00","16927.456204635397","16983.0","55.543795364603284","0.004724877145961898","0.004714261564208809","0.3281090413276677","0.058312506566340176","33.32403865221535","71.2456287788584","2022-09-07"
"PAK.3.1_1","F.A.T.A.","GADM2","3.6","PK","2022-09-07 08:00","18829.411181696716","18878.0","48.588818303283915","0.0052557604337476116","0.005240289101403397","0.2580337616340134","0.037085824033595435","33.170013305044215","70.3861612705621","2022-09-07"
"PAK.5.6_1","Malakand","GADM2","3.6","PK","2022-09-07 08:00","60257.65734276086","57474.0","-2783.65734276086","0.016819421926494143","0.01595404046053919","-4.619514382683591","-1.6571910005305324","35.69241137190094","72.24693033592979","2022-09-07"
"PAK.5.3_1","F.A.T.A.","GADM2","3.6","PK","2022-09-07 08:00","1655.076923076923","1502.0","-153.0769230769231","0.0004619734373622932","0.00041693581048352063","-9.24334618421664","-1.2269309953453458","32.93234229426058","70.79861448797378","2022-09-07"
"PAK.7.1_1","Bahawalpur","GADM2","3.6","PK","2022-09-07 08:00","102203.46153846153","105436.0","3232.5384615384683","0.028527546834180333","0.02926767251274333","3.1628154122430368","0.6067508447452117","28.848917939976854","71.63772667830045","2022-09-07"
"PAK.7.6_1","Multan","GADM2","3.6","PK","2022-09-07 08:00","187465.6976401335","193913.0","6447.302359866502","0.05232637318471493","0.05382774555145868","3.439172098845487","1.213436311003221","30.125238653918725","72.23541496058307","2022-09-07"
"PAK.7.7_1","Rawalpindi","GADM2","3.6","PK","2022-09-07 08:00","235024.06572178466","231537.0","-3487.06572178466","0.06560110529636581","0.06427168225827092","-1.4836994986366858","-0.5493462196163459","33.19520491602086","72.72306554874687","2022-09-07"
"PAK.2.3_1","Nasirabad","GADM2","3.6","PK","2022-09-07 08:00","4636.461538461538","3474.0","-1162.461538461538","0.0012941525824305103","0.0009643375536749338","-25.06676397896727","-2.314705666299457","28.78299391530157","67.8281987215831","2022-09-07"
"PAK.5.1_1","Bannu","GADM2","3.6","PK","2022-09-07 08:00","11553.626682234353","11359.0","-194.6266822343532","0.0032249066843791896","0.0031531117651679833","-1.6844047634494208","-0.2539998808278544","32.68247021464708","70.79360871430961","2022-09-07"
"PAK.8.2_1","Karachi","GADM2","3.6","PK","2022-09-07 08:00","757504.1538461539","769848.0","12343.846153846127","0.2114383886870608","0.21369986673043767","1.6295395603807483","0.6094763208681272","25.078783448780808","67.18591128987336","2022-09-07"
"PAK.8.6_1","Sukkur","GADM2","3.6","PK","2022-09-07 08:00","64079.75161313979","58872.0","-5207.751613139793","0.017886264200342717","0.016342107213572453","-8.126857881723005","-1.3030421856814531","27.03982980235053","69.0210887094943","2022-09-07"
"PAK.2.4_1","Quetta","GADM2","3.6","PK","2022-09-07 08:00","58208.16372825703","54679.0","-3529.16372825703","0.016247356908401688","0.015178184541563531","-6.062900585090925","-2.513188544420437","29.377445454266713","64.30346882797684","2022-09-07"
