"polygon_id","polygon_name","polygon_level","polygon_version","country","date_time","n_baseline","n_crisis","n_difference","density_baseline","density_crisis","percent_change","clipped_z_score","lat","lon","ds"
"PAK.2.1_1","Kalat","GADM2","3.6","PK","2022-08-14 00:00","10465.836897554927","10145.0","-320.8368975549274","0.00261734764647266","0.0025287138006954775","-3.0652708234125203","-0.5250962452493999","27.493773199641932","65.73513763364258","2022-08-14"
"PAK.7.4_1","Gujranwala","GADM2","3.6","PK","2022-08-14 00:00","365660.46153846156","365176.0","-484.46153846156085","0.09144615550423794","0.0910227295103767","-0.13248908879357074","-0.04914188137209871","32.33316289585532","74.07475121428519","2022-08-14"
"PAK.5.1_1","Bannu","GADM2","3.6","PK","2022-08-14 00:00","17200.923076923078","15330.0","-1870.923076923078","0.004301690918101335","0.00382111213057286","-10.876243711570716","-1.9688642149707933","32.68247021464708","70.79360871430961","2022-08-14"
"PAK.7.7_1","Rawalpindi","GADM2","3.6","PK","2022-08-14 00:00","263662.8140552037","264943.0","1280.185944796307","0.06593808527543263","0.06603893745664484","0.48553721692286245","0.11689328347209484","33.19520491602086","72.72306554874687","2022-08-14"
"PAK.5.7_1","Mardan","GADM2","3.6","PK","2022-08-14 00:00","54151.307692307695","51207.0","-2944.307692307695","0.013542423709564079","0.012763710950439952","-5.437086280860256","-1.4456938618570436","34.30542471242756","72.36232932451856","2022-08-14"
"PAK.5.8_1","Peshawar","GADM2","3.6","PK","2022-08-14 00:00","143562.90246169522","142909.0","-653.9024616952229","0.03590291235731825","0.03562109024579497","-0.45547832740872507","-0.09345920111376982","34.01355518230366","71.79201037504812","2022-08-14"
"PAK.5.4_1","Hazara","GADM2","3.6","PK","2022-08-14 00:00","63920.033337705405","61964.0","-1956.0333377054048","0.015985434366742594","0.015444970127776694","-3.0600777796744256","-0.8656621371682091","34.841214265020795","73.22436616623538","2022-08-14"
"PAK.8.1_1","Hyderabad","GADM2","3.6","PK","2022-08-14 00:00","121728.89262024336","119794.0","-1934.892620243365","0.030442556455447092","0.029859511191770726","-1.5894966951787135","-0.33625214913131657","25.32310038372032","68.0513634220865","2022-08-14"
"PAK.4.1_1","Islamabad","GADM2","3.6","PK","2022-08-14 00:00","223721.8466952571","238633.0","14911.153304742911","0.055949452933778177","0.05948098180397869","6.665011430439225","0.878679775140825","33.6692247086546","73.06666567556829","2022-08-14"
"PAK.5.2_1","Dera Ismail Khan","GADM2","3.6","PK","2022-08-14 00:00","19232.102982776334","18218.0","-1014.1029827763341","0.004809658316999898","0.004540966783742751","-5.2726956419070055","-0.6602736063154322","31.93734049108809","70.62908633221942","2022-08-14"
"PAK.7.2_1","Dera Ghazi Khan","GADM2","3.6","PK","2022-08-14 00:00","79423.88165680473","78214.0","-1209.8816568047332","0.019862712534410576","0.0194953988376142","-1.5233030651938988","-0.25428017412817916","30.022478285382874","70.54930191944253","2022-08-14"
"PAK.7.8_1","Sargodha","GADM2","3.6","PK","2022-08-14 00:00","93398.32988506419","91267.0","-2131.3298850641877","0.02335751085192821","0.02274895243450706","-2.281954150727816","-0.7342143981285559","32.10038677977812","71.88915810191632","2022-08-14"
"PAK.5.5_1","Kohat","GADM2","3.6","PK","2022-08-14 00:00","22385.846153846152","20949.0","-1436.8461538461524","0.005598361824151557","0.005221688064146826","-6.418260723158168","-1.6615596984792318","33.32403865221535","71.2456287788584","2022-08-14"
"PAK.5.6_1","Malakand","GADM2","3.6","PK","2022-08-14 00:00","76744.93773182914","77286.0","541.0622681708628","0.01919274914345565","0.019264088201138556","0.705004439533307","0.2165117668429229","35.69241137190094","72.24693033592979","2022-08-14"
"PAK.8.2_1","Karachi","GADM2","3.6","PK","2022-08-14 00:00","774312.1257583381","781464.0","7151.8742416618625","0.19364376110832587","0.19478549054181277","0.9236410960562679","0.2598870716837353","25.078783448780808","67.18591128987336","2022-08-14"
"PAK.7.5_1","Lahore","GADM2","3.6","PK","2022-08-14 00:00","765607.3845537609","779922.0","14314.615446239128","0.1914668368806727","0.1944011360143931","1.869704634254036","0.4600167130430874","31.212249025737595","73.94344561103003","2022-08-14"
